sku,collection,series,color,size,sub_variant,height_in,width_in,depth_in,top_type,base_only_price_usd,with_top_and_sink_price_usd,single_price_usd,product_overview,hardware_options,available_top_colors,optional_features,series_available_sizes,series_depth_in,dimensions_note,catalog_page,image_url,image_filename
CATALINA_NATURAL-OAK_30,Signature,Catalina,Natural Oak,"30""",,34,30,22,Quartz,1700,2300,,Solid Wood Legs and Dovetail Drawer Construction | Real Wood Reeded White Oak Doors with an HDF Frame | 3/4” Thick Quartz Countertop with a 3” Matching Backsplash | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black,Cashmere Quartz Top; Pure White Quartz Top,"Side Splash (3"" x 21-1/4""); 3-Hole Countertop (4"" or 8"" Spread)","30”, 36”, 48”, and 60”",22,,9,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Catalina_Natural_Oak_30_x_p09_x37.jpg,Catalina_Natural_Oak_30_x_p09_x37.jpg
CATALINA_NATURAL-OAK_36_OFF-CENTER-SINK-LEFT-SIDE,Signature,Catalina,Natural Oak,"36""",Off Center Sink Left Side,34,36,22,Quartz,1850,2500,,Solid Wood Legs and Dovetail Drawer Construction | Real Wood Reeded White Oak Doors with an HDF Frame | 3/4” Thick Quartz Countertop with a 3” Matching Backsplash | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black,Cashmere Quartz Top; Pure White Quartz Top,"Side Splash (3"" x 21-1/4""); 3-Hole Countertop (4"" or 8"" Spread)","30”, 36”, 48”, and 60”",22,,9,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Catalina_Natural_Oak_36_Off_Center_Sink_Left_Side_p09_x39.jpg,Catalina_Natural_Oak_36_Off_Center_Sink_Left_Side_p09_x39.jpg
CATALINA_NATURAL-OAK_48,Signature,Catalina,Natural Oak,"48""",,34,48,22,Quartz,2550,3400,,Solid Wood Legs and Dovetail Drawer Construction | Real Wood Reeded White Oak Doors with an HDF Frame | 3/4” Thick Quartz Countertop with a 3” Matching Backsplash | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black,Cashmere Quartz Top; Pure White Quartz Top,"Side Splash (3"" x 21-1/4""); 3-Hole Countertop (4"" or 8"" Spread)","30”, 36”, 48”, and 60”",22,,9,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Catalina_Natural_Oak_48_x_p09_x41.jpg,Catalina_Natural_Oak_48_x_p09_x41.jpg
CATALINA_NATURAL-OAK_60_DOUBLE-BOWLS,Signature,Catalina,Natural Oak,"60""",Double Bowls,34,60,22,Quartz,2750,4000,,Solid Wood Legs and Dovetail Drawer Construction | Real Wood Reeded White Oak Doors with an HDF Frame | 3/4” Thick Quartz Countertop with a 3” Matching Backsplash | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black,Cashmere Quartz Top; Pure White Quartz Top,"Side Splash (3"" x 21-1/4""); 3-Hole Countertop (4"" or 8"" Spread)","30”, 36”, 48”, and 60”",22,,9,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Catalina_Natural_Oak_60_Double_Bowls_p09_x43.jpg,Catalina_Natural_Oak_60_Double_Bowls_p09_x43.jpg
CATALINA_WALNUT_30,Signature,Catalina,Walnut,"30""",,34,30,22,Quartz,1700,2300,,Solid Wood Legs and Dovetail Drawer Construction | Real Wood Reeded Walnut Doors with an HDF Frame | 3/4” Thick Quartz Countertop with a 3” Matching Backsplash | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black,Cashmere Quartz Top; Pure White Quartz Top,"Side Splash (3"" x 21-1/4""); 3-Hole Countertop (4"" or 8"" Spread)","30”, 36”, 48”, and 60”",22,,11,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Catalina_Walnut_30_x_p11_x51.jpg,Catalina_Walnut_30_x_p11_x51.jpg
CATALINA_WALNUT_36_OFF-CENTER-SINK-LEFT-SIDE,Signature,Catalina,Walnut,"36""",Off Center Sink Left Side,34,36,22,Quartz,1850,2500,,Solid Wood Legs and Dovetail Drawer Construction | Real Wood Reeded Walnut Doors with an HDF Frame | 3/4” Thick Quartz Countertop with a 3” Matching Backsplash | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black,Cashmere Quartz Top; Pure White Quartz Top,"Side Splash (3"" x 21-1/4""); 3-Hole Countertop (4"" or 8"" Spread)","30”, 36”, 48”, and 60”",22,,11,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Catalina_Walnut_36_Off_Center_Sink_Left_Side_p11_x53.jpg,Catalina_Walnut_36_Off_Center_Sink_Left_Side_p11_x53.jpg
CATALINA_WALNUT_48,Signature,Catalina,Walnut,"48""",,34,48,22,Quartz,2550,3400,,Solid Wood Legs and Dovetail Drawer Construction | Real Wood Reeded Walnut Doors with an HDF Frame | 3/4” Thick Quartz Countertop with a 3” Matching Backsplash | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black,Cashmere Quartz Top; Pure White Quartz Top,"Side Splash (3"" x 21-1/4""); 3-Hole Countertop (4"" or 8"" Spread)","30”, 36”, 48”, and 60”",22,,11,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Catalina_Walnut_48_x_p11_x55.jpg,Catalina_Walnut_48_x_p11_x55.jpg
CATALINA_WALNUT_60_DOUBLE-BOWLS,Signature,Catalina,Walnut,"60""",Double Bowls,34,60,22,Quartz,2750,4000,,Solid Wood Legs and Dovetail Drawer Construction | Real Wood Reeded Walnut Doors with an HDF Frame | 3/4” Thick Quartz Countertop with a 3” Matching Backsplash | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,Black,Cashmere Quartz Top; Pure White Quartz Top,"Side Splash (3"" x 21-1/4""); 3-Hole Countertop (4"" or 8"" Spread)","30”, 36”, 48”, and 60”",22,,11,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Catalina_Walnut_60_Double_Bowls_p11_x57.jpg,Catalina_Walnut_60_Double_Bowls_p11_x57.jpg
PALOMA_WHITE_24,Signature,Paloma,White,"24""",,34,24,22,Quartz,1100,1550,,Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | 3/4” Thick Quartz Countertop with a 3” Matching Backsplash | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,,Cashmere Quartz Top; Pure White Quartz Top,"Side Splash (3"" x 21-1/4""); 3-Hole Countertop (4"" or 8"" Spread)","24”, 30”, 36”, 42, 48, 60”, and 72”",22,,14,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Paloma_White_24_x_p14_x90.jpg,Paloma_White_24_x_p14_x90.jpg
PALOMA_WHITE_30,Signature,Paloma,White,"30""",,34,30,22,Quartz,1400,2000,,Solid Wood Legs and Dovetail Drawer Construction | HDF Doors and Frame to Minimize Paint Cracks | 3/4” Thick Quartz Countertop with a 3” Matching Backsplash | Soft Close Doors and Dovetail Drawers with German-Made Hettich Hardware,,Cashmere Quartz Top; Pure White Quartz Top,"Side Splash (3"" x 21-1/4""); 3-Hole Countertop (4"" or 8"" Spread)","24”, 30”, 36”, 42, 48, 60”, and 72”",22,,14,https://raw.githubusercontent.com/arzL2o/otto-home-goods-catalog-2025/main/images/Paloma_White_30_x_p14_x88.jpg,Paloma_White_30_x_p14_x88.jpg
